URL,Review
https://www.grubhub.com/restaurant/oscars-very-mexican-food-3061-freeport-blvd-sacramento/6565584,"Got the carne asada breakfast burrito which had almost no meat in it. Lacked seemingly any type of seasoning, and I got pico with it that also tastes like nothing. It was a very dry burrito that was not helped by the fact they forgot to put my 2 Verde sauces in the bag. One  positive thing I can say is the burrito was massive, which only made the pain of having no sauce worse."
https://www.grubhub.com/restaurant/oscars-very-mexican-food-3061-freeport-blvd-sacramento/6565584,"Great food great service, solid price point"
https://www.grubhub.com/restaurant/oscars-very-mexican-food-3061-freeport-blvd-sacramento/6565584,There was one thing missing that I believe I have been reimbursed for.
https://www.grubhub.com/restaurant/oscars-very-mexican-food-3061-freeport-blvd-sacramento/6565584,The food was awful. I never seen carnitas sliced. It was dry and tasted old.
https://www.grubhub.com/restaurant/oscars-very-mexican-food-3061-freeport-blvd-sacramento/6565584,There was no meat on my carne asada taco salad. Disappointed
https://www.grubhub.com/restaurant/oscars-very-mexican-food-3061-freeport-blvd-sacramento/6565584,Food is consistently great and workers are friendly
https://www.grubhub.com/restaurant/oscars-very-mexican-food-3061-freeport-blvd-sacramento/6565584,The foods quality has gone down
https://www.grubhub.com/restaurant/oscars-very-mexican-food-3061-freeport-blvd-sacramento/6565584,The restaurant was good
https://www.grubhub.com/restaurant/oscars-very-mexican-food-3061-freeport-blvd-sacramento/6565584,Our delivery driver arrived with our food HOT I was notified they were waiting and personally when they were on their way.
https://www.grubhub.com/restaurant/oscars-very-mexican-food-3061-freeport-blvd-sacramento/6565584,"Paid extra for sour cream and they didn’t include it in the order. As a result, burrito was super dry. I normally like this place, but is pretty middle of the road for Mexican, and if they can’t get the orders right, then it’s not worth it."
https://www.grubhub.com/restaurant/oscars-very-mexican-food-3061-freeport-blvd-sacramento/6565584,Love this restaurant! It's delicious and affordable
https://www.grubhub.com/restaurant/oscars-very-mexican-food-3061-freeport-blvd-sacramento/6565584,I have enjoyed this reasonably priced food a number of times.
https://www.grubhub.com/restaurant/oscars-very-mexican-food-3061-freeport-blvd-sacramento/6565584,Chicken tacos were soggy. Chorizo tacos were very good!!
https://www.grubhub.com/restaurant/oscars-very-mexican-food-3061-freeport-blvd-sacramento/6565584,Delicious breakfast burrito
https://www.grubhub.com/restaurant/oscars-very-mexican-food-3061-freeport-blvd-sacramento/6565584,Pretty good food
https://www.grubhub.com/restaurant/oscars-very-mexican-food-3061-freeport-blvd-sacramento/6565584,Great food & reasonable price!
https://www.grubhub.com/restaurant/oscars-very-mexican-food-3061-freeport-blvd-sacramento/6565584,"I'd like the ability to make changes to order, such as no lettuce or extra sauce."
https://www.grubhub.com/restaurant/oscars-very-mexican-food-3061-freeport-blvd-sacramento/6565584,Everything was cold and AWFUL
https://www.grubhub.com/restaurant/oscars-very-mexican-food-3061-freeport-blvd-sacramento/6565584,Hair in my food.
https://www.grubhub.com/restaurant/oscars-very-mexican-food-3061-freeport-blvd-sacramento/6565584,"Y'all. These burritos are HEFTY.

I added rice, beans, and veg which filled them out, but they're gigantic. I picked up the heavy bag off my porch and went ""oh damn"".

Tasty too! A+, would have leftovers again."
https://www.grubhub.com/restaurant/oscars-very-mexican-food-3061-freeport-blvd-sacramento/6565584,I had a burrito and it was so good!!  And it wasn’t huge!!! Great quality shredded beef.  Thank you!!
https://www.grubhub.com/restaurant/oscars-very-mexican-food-3061-freeport-blvd-sacramento/6565584,"Greasy, heavy, overcooked, and flavorless. Yet... hours later, the grease burn flavor is still in my mouth. What happened, Oscar?"
