Restaurant Name,Item Name,Price
McDonald's,2 Cookies,$2.39 
McDonald's,3 Pack Of Cookies,$3.19 
McDonald's,13 Cookie Tote,$11.49 
McDonald's,Apple Pie,$2.29+
McDonald's,Strawberry & Crème Pie,$2.29+
McDonald's,Chicken Pack,$47.69 
McDonald's,20 pc. Chicken McNuggets® & 2 Medium Fries,$17.19 
McDonald's,40 pc. Chicken McNuggets®,$15.89 
McDonald's,40 pc. Chicken McNuggets® & 2 Large Fries,$27.59 
McDonald's,Burger Pack,$46.99 
McDonald's,Favorites for 4,$53.79 
McDonald's,Combo Pack,$56.39 
McDonald's,Classic Quarter Pounder® with Cheese Pack,$36.29 
McDonald's,Classic Cheeseburger Pack,$28.29 
McDonald's,Classic Big Mac® Pack,$36.29 
McDonald's,2 Medium French Fries,$10.89 
McDonald's,2 Large Fries,$12.19 
McDonald's,13 Cookie Tote,$11.49 
Carl's Jr.,Redhook® Beer-Battered Fish Sandwich,$5.79 
Carl's Jr.,Fried Zucchini Star,$8.50 
Carl's Jr.,Hand-Breaded Chicken Sandwich,$10.18 
Carl's Jr.,Hand-Breaded Bacon Swiss Chicken Sandwich,$11.73 
Carl's Jr.,3 Piece - Hand-Breaded Chicken Tenders™,$8.89 
Carl's Jr.,5 Piece - Hand-Breaded Chicken Tenders™,$11.60 
Carl's Jr.,10 Piece - Hand-Breaded Chicken Tenders™,$18.05 
Carl's Jr.,15 Piece - Hand-Breaded Chicken Tenders™,$24.50 
Carl's Jr.,20 Piece - Hand-Breaded Chicken Tenders™,$31.59 
Carl's Jr.,6 Piece - Chicken Stars™,$6.44 
Carl's Jr.,9 Piece- Chicken Stars™,$9.02 
Carl's Jr.,Charbroiled Chicken Club™ Sandwich,$11.98 
Carl's Jr.,Charbroiled Santa Fe Chicken™ Sandwich,$11.34 
Carl's Jr.,Charbroiled BBQ Chicken™ Sandwich,$10.69 
Carl's Jr.,Spicy Chicken Sandwich,$5.41 
El Patio Fresh Mexican Grill,El Patio Fries,$17.50 
El Patio Fresh Mexican Grill,Surf & Turf Fries,$21.65 
El Patio Fresh Mexican Grill,Super Nachos,$17.50 
El Patio Fresh Mexican Grill,Super Quesadilla,$21.25 
El Patio Fresh Mexican Grill,Mex Quesadilla,$21.65 
El Patio Fresh Mexican Grill,Mulita,$7.99 
El Patio Fresh Mexican Grill,Cheese Quesadilla,$11.65 
El Patio Fresh Mexican Grill,Fajita Quesadilla,$21.65 
El Patio Fresh Mexican Grill,Veggie Fajita Quesadilla,$17.08 
El Patio Fresh Mexican Grill,Quesabirria Torta,$23.32 
El Patio Fresh Mexican Grill,Super Torta,$23.32 
El Patio Fresh Mexican Grill,Mex Torta,$19.17 
Jack in the Box,3PC French Toast Sticks Platter w/ Bacon Combo,$13.49 
Jack in the Box,3PC French Toast Sticks Platter w/ Sausage Combo,$13.49 
Jack in the Box,Grande Sausage Burrito Combo,$13.61 
Jack in the Box,Supreme Croissant Combo,$12.49 
Jack in the Box,Sausage Croissant Combo,$12.36 
Jack in the Box,Supreme Sourdough Breakfast Sandwich Combo,$11.74 
Jack in the Box,Meat Lovers Burrito Combo,$13.61 
Jack in the Box,Loaded Breakfast Sandwich Combo,$13.74 
Jack in the Box,Extreme Sausage® Sandwich Combo,$12.49 
Jack in the Box,Ultimate Breakfast Sandwich Combo,$13.49 
Jack in the Box,Sausage Breakfast Jack® Combo,$9.74 
Jack in the Box,Breakfast Jack® Combo,$9.24 
Jack in the Box,Build Your Own Munchie Meal,$15.00+
Raising Cane's Chicken Fingers,The Box Combo,$12.99+
Fire Wings Natomas,REG - PLAIN FRIES,$16.09+
Fire Wings Natomas,LRG - PLAIN FRIES,$70.39+
Fire Wings Natomas,REG - SEASON FRIES,$3.69 
Fire Wings Natomas,LRG - SEASONED FRIES,$4.89 
Fire Wings Natomas,REG - GARLIC FRIES,$4.29 
Fire Wings Natomas,LRG - GARLIC FRIES,$5.49 
Fire Wings Natomas,REG - FIRE FRIES,$5.89 
Fire Wings Natomas,LRG - FIRE FRIES,$7.09 
Fire Wings Natomas,REG - CHILI CHEESE FRIES,$5.89 
Fire Wings Natomas,REG - TATER TOTS,$7.09 
Fire Wings Natomas,LRG - TATER TOTS,$6.49 
Fire Wings Natomas,REG - CHILI CHEESE TOTS,$5.09 
Fire Wings Natomas,LRG - CHILI CHEESE TOTS,$6.29 
Fire Wings Natomas,LRG - CHILI CHEESE FRIES,$7.29 
524 Mexican Food,524 Chile Relleno Burger,$15.99 
524 Mexican Food,Cheeseburger,$13.99 
524 Mexican Food,Torta,$14.99 
524 Mexican Food,Quessbirria (3) A la Carte,$13.99 
524 Mexican Food,Enchilada A la Carte,$4.99 
524 Mexican Food,Tamale A la Carte,$5.99 
524 Mexican Food,Chile Relleno A la Carte,$6.99 
524 Mexican Food,Tostada A la Carte,$5.99 
524 Mexican Food,Burrito A la Carte,$6.49 
524 Mexican Food,Quesadilla A la Carte,$5.49 
524 Mexican Food,Sope A la Carte,$5.99 
524 Mexican Food,Rice A la Carte,$4.99 
524 Mexican Food,Beans A la Carte,$4.99 
Skip's Fish & Chicken ( Truxel Rd),Pick 2 Combo Basket,$25.99+
Skip's Fish & Chicken ( Truxel Rd),Whole Wing,$4.55 
Skip's Fish & Chicken ( Truxel Rd),3 Piece Jumbo Shrimp,$8.13 
Skip's Fish & Chicken ( Truxel Rd),1 Piece Catfish,$3.90 
