name,address,phone_number,cuisines
Tapioca Express,"2069 Arena Blvd #140, Sacramento, CA, 95834",1 9165749898,"Bubble Tea, Smoothies and Juices, Snacks"
Deluna Dessert Cafe,"3581 Truxel Rd Suite 1, Sacramento, CA, 95834",1 9166928883,"Coffee and Tea, Bubble Tea, Smoothies and Juices"
Starbucks,"2038 Lyndell Terrace, Davis, CA, 95616",1 8007827282,"Coffee and Tea, Bagels, Bakery, Breakfast, Fast Food, Sandwiches, Snacks"
Bober Tea & Coffee,"1801 L St Suite 80, Sacramento, CA, 95811",1 9165131055,"Coffee and Tea, Breakfast, Bubble Tea, Dessert, Donuts, Healthy, Japanese, Snacks"
CVS,"1550 E Covell Blvd, Davis, CA, 95616",1 5307534004,"Convenience, Candy, Coffee and Tea, Frozen Yogurt, Ice Cream, Snacks"
Rite Aid,"655 Russell Blvd, Davis, CA, 95616",1 5307563393,"Convenience, Candy, Ice Cream, Snacks"
Salt & Straw Ice Blocks,"1710 R St, Sacramento, CA, 95811",1 9169065274,"Dessert, American, Ice Cream, Vegan"
ExtraMile Convenience Stores,"201 Richards Blvd, Sacramento, CA, 95811",1 9164464511,"Convenience, Alcohol"
Aggie Liquor,"507 L St, Davis, CA, 95616",1 5307534441,Alcohol
Grubhub Goods,"4010 Lake Rd, West Sacramento, CA, 95691",1 8557117669,"Convenience, Candy, Chicken, Dessert, Fast Food, Ice Cream, Pizza, Snacks, Wings"
Mixx Market 55 - Truxel Shell,"3721 Truxel Rd, Sacramento, CA, 95834",1 2672637197,"Convenience, Alcohol, Snacks"
Power Market 3027,"901 East St, Woodland, CA, 95776",1 5306688164,"Convenience, Candy, Coffee and Tea, Snacks"
The Ice Cream Shop,"1506 Sacramento Ave, West Sacramento, CA, 95605",1 9163725273,"Convenience, Ice Cream"
PetSmart,"3641 Truxel Rd, Sacramento, CA, 95834",1 9169280314,Convenience
