Item Name,Price,Time of Day
Supreme Croissant,$7.74,afternoon
Sausage Croissant,$7.49,afternoon
Supreme Sourdough Breakfast Sandwich,$8.11,afternoon
Meat Lovers Breakfast Burrito,$8.74,afternoon
Loaded Breakfast Sandwich,$8.74,afternoon
Extreme Sausage® Sandwich,$7.99,afternoon
Ultimate Breakfast Sandwich,$8.49,afternoon
Breakfast Jack®,$4.36,afternoon
Sausage Breakfast Jack®,$4.86,afternoon
Hash Brown,$3.74,afternoon
Garden Salad w/ Grilled Chicken Combo,$12.99,afternoon
Garden Salad w/ Crispy Chicken Combo,$12.99,afternoon
Southwest Salad w/ Grilled Chicken Combo,$13.36,afternoon
Southwest Salad w/ Crispy Chicken Combo,$13.36,afternoon
