Item Name,Price,Time of Day
55+ Thick ‘N Fluffy French Toast,$13.74,morning
55+ BLT,$14.49,morning
55+ Crispy Shrimp,$13.74,morning
55+ Crispy Fish,$14.99,morning
Silver 5,$11.86,morning
Jr. Cupcake Pancake Combo,$11.86,morning
Jr. Mac & Cheese,$11.86,morning
Jr. Chicken & Waffles,$11.86,morning
Jr. Chicken Strips Dinner,$11.86,morning
Happy Face® Pancake Combo,$11.86,morning
Jr. Cheeseburger,$11.86,morning
French Toast Sticks,$11.86,morning
Cinnamon Dippers,$9.99,morning
House-Made Milkshakes,$8.49,morning
Silverware,$0.00,morning
Condiments,$0.00,morning
No Condiments,$0.00,morning
Fruit Juices,$4.99,morning
Coffee & Hot Chocolate,$4.99,morning
Tea & Lemonade,$4.36,morning
Fountain Drinks,$4.99,morning
Splashers,$6.24,morning
Milk & Chocolate Milk,$4.99,morning
Breakfast Beverage Bundle,$13.74,morning
Lunch/Dinner Beverage Bundle,$13.74,morning
